attribute,level,choice_share,effect_pp,p_value,n_observations,a_choice_share,b_choice_share,present_n,absent_n,significance,effect_formatted,abs_effect
Color_palette,Friendly & warm (coral / lavender / peach),0.503,0.30000000000000027,1.0,1000,0.5262096774193549,0.4801587301587302,1000,0,n.s.,+0.3n.s.,0.30000000000000027
Color_palette,Tech & bold (deep blue / black / neon),0.497,-0.30000000000000027,1.0,1000,0.5198412698412699,0.4737903225806452,1000,0,n.s.,-0.3n.s.,0.30000000000000027
Message_failure_,"That didn’t work, but mistakes are how scientists learn. Let’s try another design.",0.507,0.7000000000000006,1.0,1000,0.5308641975308642,0.48443579766536965,1000,0,n.s.,+0.7n.s.,0.7000000000000006
Message_failure_,This design didn’t launch successfully. Here is what went wrong.,0.493,-0.7000000000000006,1.0,1000,0.5155642023346303,0.4691358024691358,1000,0,n.s.,-0.7n.s.,0.7000000000000006
Message_success_,Great job — your effort and persistence helped you solve this!,0.505,0.5000000000000004,1.0,1000,0.5292887029288703,0.4827586206896552,1000,0,n.s.,+0.5n.s.,0.5000000000000004
Message_success_,You solved it so quickly — you must have a really special talent for science!,0.495,-0.5000000000000004,1.0,1000,0.5172413793103449,0.4707112970711297,1000,0,n.s.,-0.5n.s.,0.5000000000000004
Pricing,School pays (free for families),0.7068062827225131,20.68062827225131,0.20262911706304113,382,0.6989795918367347,0.7150537634408602,382,618,n.s.,+20.7n.s.,20.68062827225131
Pricing,Free trial + $12.99/month,0.34210526315789475,-15.789473684210526,0.972979753842474,380,0.36649214659685864,0.31746031746031744,380,620,n.s.,-15.8n.s.,15.789473684210526
Pricing,Free trial + $9.99/month,0.4166666666666667,-8.333333333333332,0.35798016944508315,396,0.41621621621621624,0.41706161137440756,396,604,n.s.,-8.3n.s.,8.333333333333332
Pricing,Free trial + $4.99/month,0.543859649122807,4.385964912280704,0.08513114302943704,399,0.5961538461538461,0.4869109947643979,399,601,(marginal),+4.4(marginal),4.385964912280704
Pricing,Free trial + $7.99/month,0.49209932279909707,-0.7900677200902928,0.6733914810751613,443,0.5227272727272727,0.4618834080717489,443,557,n.s.,-0.8n.s.,0.7900677200902928
Role_play,Hero astronaut: You are the astronaut in charge — the team is counting on you to complete this mission.,0.561,6.100000000000005,1.0,1000,0.5833333333333334,0.5383064516129032,1000,0,n.s.,+6.1n.s.,6.100000000000005
Role_play,No specific role: Just design a rocket and see how it works.,0.439,-6.1,1.0,1000,0.46169354838709675,0.4166666666666667,1000,0,n.s.,-6.1n.s.,6.1
Storytelling,Space rescue story: “Your spaceship must deliver medicine to astronauts stranded on the Moon before their oxygen runs out.”,0.559,5.900000000000006,1.0,1000,0.5840163934426229,0.53515625,1000,0,n.s.,+5.9n.s.,5.900000000000006
Storytelling,No story: Just design and test rockets in a sandbox-style game.,0.441,-5.8999999999999995,1.0,1000,0.46484375,0.41598360655737704,1000,0,n.s.,-5.9n.s.,5.8999999999999995
Tutor,Male AI tutor,0.425,-7.500000000000001,1.0,1000,0.44693877551020406,0.403921568627451,1000,0,n.s.,-7.5n.s.,7.500000000000001
Tutor,Female AI tutor,0.575,7.499999999999996,1.0,1000,0.596078431372549,0.5530612244897959,1000,0,n.s.,+7.5n.s.,7.499999999999996
