feature,coefficient,p_value,pp_effect,significance,abs_effect
Pricing_free,0.7009181976579851,0.999999925462898,17.52295494144963,n.s.,17.52295494144963
Pricing_9.99,-0.32054429390542466,0.9999999659126517,-8.013607347635617,n.s.,8.013607347635617
Tutor_diff,0.17844312233073423,2.8409258656658665e-07,4.461078058268356,***,4.461078058268356
Role_play_diff,0.15419207215493916,8.711212825973647e-06,3.854801803873479,***,3.854801803873479
Storytelling_diff,0.14474411192016726,3.1611511053686314e-05,3.6186027980041815,***,3.6186027980041815
Pricing_12.99,-0.1446933186135526,0.9999999938452044,-3.6173329653388153,n.s.,3.6173329653388153
Pricing_7.99,-0.12444174380064492,0.9999999867666056,-3.111043595016123,n.s.,3.111043595016123
Pricing_4.99,0.1058011365819666,0.9999999887488866,2.645028414549165,n.s.,2.645028414549165
Color_palette_diff,0.03883893976550606,0.2604723911217932,0.9709734941376514,n.s.,0.9709734941376514
Message_failure__diff,0.03255755341457124,0.3455596953631408,0.813938835364281,n.s.,0.813938835364281
Message_success__diff,0.005809342541872213,0.8659148910579444,0.14523356354680533,n.s.,0.14523356354680533
